10	52	248	107916	79	222	119395	15	126	43878	0	0	29477	55
20	11	277	143508	12	233	230355	0	85	58616	0	3	53615	165
40	1	302	272908	7	216	464050	1	85	128535	0	7	96382	479
80	1	299	389694	2	223	916475	0	71	150703	0	2	187156	1132
160	0	293	688407	1	305	2013179	0	57	286185	0	29	362034	3042
320	0	335	1370316	5	440	4439766	0	64	609109	1	65	731836	8004
640	0	321	2508102	29	657	8125083	0	53	1127356	1	70	1354319	14784
1280	11	570	4896747	7	1056	14137077	0	138	2205494	0	83	2758328	26548
2560	1	1019	8946335	198	2841	23026801	0	377	3977690	1	142	4674285	44508
5120	29	3871	15678641	24	6531	37452284	9	2662	6939490	0	1841	7757613	83174
10240	80	24825	25226209	82	14456	59361518	55	21699	10774006	1	3596	11542669	173498
20480	979	88108	42922127	410	95268	122168242	633	75779	18096847	76	45539	25784937	423616
40960	8767	244105	88125565	9390	377462	271543789	8151	219623	39005695	4145	189328	52283944	1039078
81920	123445	678935	185968671	167912	1138921	588209946	108194	577685	83646142	22825	469584	109853062	2365990
163840	396801	1752783	390427563	557360	3016845	1218453581	357288	1406227	180951601	276264	1270479	236756192	5031190
327680	1864033	5019144	865976975	2515200	7058570	2550391824	1582623	3756027	417088216	1156577	3000049	510055552	8705682
655360	5987757	12809416	1844879683	6658581	15694686	4939813253	4711213	8668144	899578283	3462648	6766063	1096317629	15450862
1310720	14643386	31466444	3823395877	18327645	33328580	10108367669	9851436	19214281	1781594738	9040643	14574688	2356865934	27764782
2621440	38936006	77423621	8184774996	47739964	71855381	21141812826	24267154	44367031	3847512331	22938619	31242733	5063811246	51605210
5242880	94406621	187785304	17938583716	110970513	155365414	44295465361	54340450	100935080	8390101286	52544811	69232468	11004654982	100764882
10485760	240861705	434310066	38706824160	256727865	348204178	94212717244	140026614	228951994	18462653527	116683891	153932926	23447349120	206406266
20971520	551164317	959280817	82867930261	597666745	812343745	199252413276	310651106	495268723	39647421337	279070575	361221469	48469161357	484065566
